song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
Memory,75000,56,https://p.scdn.co/mp3-preview/e52472856aa8e060e2f6200f80a2317b13c4ff4d?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,UNDERTALE Soundtrack,album,2015-09-15,101,https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2
Miss Understood,200880,56,https://p.scdn.co/mp3-preview/78332a19fa3c5d774263acda4263feb0947eabb6?cid=38e2a4a43dbf4f63a749947cbcb26e74,DPR IAN,Moodswings In To Order,album,2022-07-29,12,https://i.scdn.co/image/ab67616d0000b2738ac536a8b7cdb157509399a7
"Luma (From ""Super Mario Galaxy"") [Piano Version]",65684,47,https://p.scdn.co/mp3-preview/4ce91eb2153d808a0eebbd357113fff376d13eb4?cid=38e2a4a43dbf4f63a749947cbcb26e74,Streaming Music Studios,Super Mario Galaxy - A Piano Collection,album,2020-10-09,33,https://i.scdn.co/image/ab67616d0000b2732499aa487466fa473f0eefe9
Twinkle Twinkle Little Star,133000,58,https://p.scdn.co/mp3-preview/0c2282b2ae4837bb9fec7b6ebd93e13020ead6aa?cid=38e2a4a43dbf4f63a749947cbcb26e74,Nursery Rhymes ABC,Twinkle Twinkle Little Star & Other Lullabies - Baby Lullaby Music and Childrens Songs for Bedtime Sleep,album,2018-11-09,20,https://i.scdn.co/image/ab67616d0000b2735a01905cc340cdbd067b30f3
The Four Seasons: Spring 1,150293,32,https://p.scdn.co/mp3-preview/1a8a34be2ba8abe846da606e17d236f62299182a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Wolfgang Amadeus Mozart,Calm Classical,album,2023-10-18,41,https://i.scdn.co/image/ab67616d0000b27393656a0e90c5d7cd484bff78
Mad Hatter,201520,75,https://p.scdn.co/mp3-preview/4b8621bf28a18caa905494bc453c6b53b138d703?cid=38e2a4a43dbf4f63a749947cbcb26e74,Melanie Martinez,Cry Baby (Deluxe Edition),album,2015-08-14,16,https://i.scdn.co/image/ab67616d0000b2733899712512f50a8d9e01e951
Tili Tili Bom (Russian Lullaby),132546,13,https://p.scdn.co/mp3-preview/b2cff44d8751f638e44410a38703af3e612de4ff?cid=38e2a4a43dbf4f63a749947cbcb26e74,Heron Ribeiro,Tili Tili Bom (Russian Lullaby),single,2020-09-30,1,https://i.scdn.co/image/ab67616d0000b27347238af3ae81f063ca5a2bfa
Duet,132468,63,https://p.scdn.co/mp3-preview/9ecdedaf0e1cd34f7b4d62aa687485b6b63198bd?cid=38e2a4a43dbf4f63a749947cbcb26e74,Omori,"Omori (Original Game Soundtrack), Pt.3",album,2020-12-25,59,https://i.scdn.co/image/ab67616d0000b273b080961348b7c4402e0186e9
"Lillium (From ""Elfen Lied"")",176919,48,https://p.scdn.co/mp3-preview/e4d9865f7a690f5b1719dd165a39cb515f52992a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Geek Music,"Lillium (From ""Elfen Lied"")",single,2022-01-11,1,https://i.scdn.co/image/ab67616d0000b27325a1bfda78154afe192b68e4
"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")",89783,56,https://p.scdn.co/mp3-preview/7a8ffd4bf348dda0f875beed3d053a98d619f734?cid=38e2a4a43dbf4f63a749947cbcb26e74,Akano,"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")",single,2019-05-10,1,https://i.scdn.co/image/ab67616d0000b2736acbb6167824a651fe60dd40
Moonlight Sonata - 1st Movement (Sonata No. 14 C# Minor),386791,12,https://p.scdn.co/mp3-preview/d349b94485c5b26ac89998adac1626eef8cad8f5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Monsalve,Best Classical Piano Pieces - Beethoven,album,2013-01-15,29,https://i.scdn.co/image/ab67616d0000b27310db16c3136580b6e3aa94af
